"","species","island","bill_length_mm","bill_depth_mm","flipper_length_mm","body_mass_g","sex","year"
"96","Gentoo","Biscoe",48.5,14.1,220,5300,"male",2008
"97","Gentoo","Biscoe",45.1,14.4,210,4400,"female",2008
"98","Gentoo","Biscoe",50.1,15,225,5000,"male",2008
"99","Gentoo","Biscoe",46.5,14.4,217,4900,"female",2008
"100","Gentoo","Biscoe",45,15.4,220,5050,"male",2008
"101","Gentoo","Biscoe",43.8,13.9,208,4300,"female",2008
"102","Gentoo","Biscoe",45.5,15,220,5000,"male",2008
"103","Gentoo","Biscoe",43.2,14.5,208,4450,"female",2008
"104","Gentoo","Biscoe",50.4,15.3,224,5550,"male",2008
"105","Gentoo","Biscoe",45.3,13.8,208,4200,"female",2008
"106","Gentoo","Biscoe",46.2,14.9,221,5300,"male",2008
"107","Gentoo","Biscoe",45.7,13.9,214,4400,"female",2008
"108","Gentoo","Biscoe",54.3,15.7,231,5650,"male",2008
"109","Gentoo","Biscoe",45.8,14.2,219,4700,"female",2008
"110","Gentoo","Biscoe",49.8,16.8,230,5700,"male",2008
"111","Gentoo","Biscoe",46.2,14.4,214,4650,NA,2008
"112","Gentoo","Biscoe",49.5,16.2,229,5800,"male",2008
"113","Gentoo","Biscoe",43.5,14.2,220,4700,"female",2008
"114","Gentoo","Biscoe",50.7,15,223,5550,"male",2008
"115","Gentoo","Biscoe",47.7,15,216,4750,"female",2008
"116","Gentoo","Biscoe",46.4,15.6,221,5000,"male",2008
"117","Gentoo","Biscoe",48.2,15.6,221,5100,"male",2008
"118","Gentoo","Biscoe",46.5,14.8,217,5200,"female",2008
"119","Gentoo","Biscoe",46.4,15,216,4700,"female",2008
"120","Gentoo","Biscoe",48.6,16,230,5800,"male",2008
"121","Gentoo","Biscoe",47.5,14.2,209,4600,"female",2008
"122","Gentoo","Biscoe",51.1,16.3,220,6000,"male",2008
"123","Gentoo","Biscoe",45.2,13.8,215,4750,"female",2008
"124","Gentoo","Biscoe",45.2,16.4,223,5950,"male",2008
"125","Gentoo","Biscoe",49.1,14.5,212,4625,"female",2009
"126","Gentoo","Biscoe",52.5,15.6,221,5450,"male",2009
"127","Gentoo","Biscoe",47.4,14.6,212,4725,"female",2009
"128","Gentoo","Biscoe",50,15.9,224,5350,"male",2009
"129","Gentoo","Biscoe",44.9,13.8,212,4750,"female",2009
"130","Gentoo","Biscoe",50.8,17.3,228,5600,"male",2009
"131","Gentoo","Biscoe",43.4,14.4,218,4600,"female",2009
"132","Gentoo","Biscoe",51.3,14.2,218,5300,"male",2009
"133","Gentoo","Biscoe",47.5,14,212,4875,"female",2009
"134","Gentoo","Biscoe",52.1,17,230,5550,"male",2009
"135","Gentoo","Biscoe",47.5,15,218,4950,"female",2009
"136","Gentoo","Biscoe",52.2,17.1,228,5400,"male",2009
"137","Gentoo","Biscoe",45.5,14.5,212,4750,"female",2009
"138","Gentoo","Biscoe",49.5,16.1,224,5650,"male",2009
"139","Gentoo","Biscoe",44.5,14.7,214,4850,"female",2009
"140","Gentoo","Biscoe",50.8,15.7,226,5200,"male",2009
"141","Gentoo","Biscoe",49.4,15.8,216,4925,"male",2009
"142","Gentoo","Biscoe",46.9,14.6,222,4875,"female",2009
"143","Gentoo","Biscoe",48.4,14.4,203,4625,"female",2009
"144","Gentoo","Biscoe",51.1,16.5,225,5250,"male",2009
"145","Gentoo","Biscoe",48.5,15,219,4850,"female",2009
"146","Gentoo","Biscoe",55.9,17,228,5600,"male",2009
"147","Gentoo","Biscoe",47.2,15.5,215,4975,"female",2009
"148","Gentoo","Biscoe",49.1,15,228,5500,"male",2009
"149","Gentoo","Biscoe",47.3,13.8,216,4725,NA,2009
"150","Gentoo","Biscoe",46.8,16.1,215,5500,"male",2009
"151","Gentoo","Biscoe",41.7,14.7,210,4700,"female",2009
"152","Gentoo","Biscoe",53.4,15.8,219,5500,"male",2009
"153","Gentoo","Biscoe",43.3,14,208,4575,"female",2009
"154","Gentoo","Biscoe",48.1,15.1,209,5500,"male",2009
"155","Gentoo","Biscoe",50.5,15.2,216,5000,"female",2009
"156","Gentoo","Biscoe",49.8,15.9,229,5950,"male",2009
"157","Gentoo","Biscoe",43.5,15.2,213,4650,"female",2009
"158","Gentoo","Biscoe",51.5,16.3,230,5500,"male",2009
"159","Gentoo","Biscoe",46.2,14.1,217,4375,"female",2009
"160","Gentoo","Biscoe",55.1,16,230,5850,"male",2009
"161","Gentoo","Biscoe",44.5,15.7,217,4875,NA,2009
"162","Gentoo","Biscoe",48.8,16.2,222,6000,"male",2009
"163","Gentoo","Biscoe",47.2,13.7,214,4925,"female",2009
"164","Gentoo","Biscoe",NA,NA,NA,NA,NA,2009
"165","Gentoo","Biscoe",46.8,14.3,215,4850,"female",2009
"166","Gentoo","Biscoe",50.4,15.7,222,5750,"male",2009
"167","Gentoo","Biscoe",45.2,14.8,212,5200,"female",2009
"168","Gentoo","Biscoe",49.9,16.1,213,5400,"male",2009
